source_club_id,target_club_id,transfers_count,total_fee_eur,count_transfer,count_loan,count_free,avg_fee_eur
34,40,3,79000000.0,3,0,0,26333333.333333332
35,40,3,0.0,0,0,0,0.0
36,40,5,4000000.0,1,0,1,800000.0
37,40,1,0.0,0,0,0,0.0
39,40,2,45000000.0,1,0,0,22500000.0
40,34,2,4300000.0,1,0,1,2150000.0
40,35,6,46200000.0,3,3,0,7700000.0
40,36,4,14000000.0,1,1,2,3500000.0
40,37,5,0.0,0,4,0,0.0
40,38,1,0.0,0,0,1,0.0
40,39,4,375000.0,1,2,0,93750.0
40,41,5,22300000.0,1,4,0,4460000.0
40,43,4,0.0,0,3,1,0.0
40,44,1,0.0,0,1,0,0.0
40,46,6,15700000.0,2,3,1,2616666.6666666665
40,47,1,16700000.0,1,0,0,16700000.0
40,48,4,23300000.0,2,1,1,5825000.0
40,49,3,65500000.0,2,0,0,21833333.333333332
40,50,1,60000000.0,1,0,0,60000000.0
40,51,3,0.0,0,1,2,0.0
40,52,6,59500000.0,2,1,1,9916666.666666666
40,53,2,4300000.0,1,1,0,2150000.0
40,54,3,9300000.0,1,1,1,3100000.0
40,55,4,47000000.0,2,2,0,11750000.0
40,56,2,0.0,0,2,0,0.0
40,58,2,0.0,0,2,0,0.0
40,59,5,0.0,0,2,2,0.0
40,60,2,0.0,0,2,0,0.0
40,61,8,0.0,0,7,0,0.0
40,62,4,26000000.0,1,3,0,6500000.0
40,64,7,0.0,0,6,0,0.0
40,65,2,20000000.0,1,1,0,10000000.0
40,66,2,8800000.0,1,1,0,4400000.0
40,67,5,2300000.0,1,3,0,460000.0
40,68,11,10900000.0,3,7,1,990909.0909090909
40,69,6,0.0,0,6,0,0.0
40,70,1,0.0,0,1,0,0.0
40,71,5,3900000.0,2,2,0,780000.0
40,72,4,0.0,0,0,2,0.0
40,73,2,0.0,0,1,1,0.0
40,74,1,0.0,0,1,0,0.0
40,75,7,21700000.0,2,3,2,3100000.0
40,76,4,5900000.0,1,3,0,1475000.0
40,78,1,0.0,0,1,0,0.0
40,79,2,0.0,0,2,0,0.0
40,80,1,6000000.0,1,0,0,6000000.0
40,84,1,0.0,0,0,1,0.0
40,85,1,0.0,0,0,1,0.0
40,87,1,0.0,0,1,0,0.0
40,91,1,0.0,0,0,1,0.0
40,93,1,0.0,0,1,0,0.0
40,94,1,1000000.0,1,0,0,1000000.0
40,110,1,0.0,0,0,1,0.0
40,124,1,0.0,0,1,0,0.0
40,157,2,44000000.0,2,0,0,22000000.0
40,158,1,0.0,0,1,0,0.0
40,159,2,0.0,0,2,0,0.0
40,160,1,0.0,0,1,0,0.0
40,161,2,0.0,0,1,1,0.0
40,162,1,0.0,0,0,1,0.0
40,164,1,0.0,0,1,0,0.0
40,167,1,7000000.0,1,0,0,7000000.0
40,172,3,0.0,0,2,1,0.0
40,173,1,0.0,0,1,0,0.0
40,174,2,0.0,0,1,0,0.0
40,182,3,6500000.0,1,2,0,2166666.6666666665
40,195,1,0.0,0,1,0,0.0
40,198,1,0.0,0,0,1,0.0
40,202,1,0.0,0,1,0,0.0
40,207,1,0.0,0,0,0,0.0
40,209,1,300000.0,1,0,0,300000.0
40,212,3,12000000.0,1,1,1,4000000.0
40,225,1,0.0,0,0,0,0.0
40,228,3,0.0,0,1,1,0.0
40,240,1,0.0,0,0,0,0.0
40,242,1,0.0,0,1,0,0.0
40,247,1,0.0,0,1,0,0.0
40,248,1,0.0,0,0,0,0.0
40,249,1,0.0,0,0,1,0.0
40,250,5,0.0,0,4,1,0.0
40,252,4,0.0,0,3,0,0.0
40,254,5,0.0,0,4,1,0.0
40,255,2,0.0,0,2,0,0.0
40,257,7,7700000.0,1,3,1,1100000.0
40,334,1,0.0,0,1,0,0.0
40,371,1,0.0,0,1,0,0.0
40,406,1,0.0,0,1,0,0.0
40,410,1,0.0,0,1,0,0.0
40,415,1,0.0,0,0,1,0.0
40,417,1,0.0,0,1,0,0.0
40,424,1,0.0,0,1,0,0.0
40,435,1,0.0,0,0,0,0.0
40,451,1,0.0,0,0,0,0.0
40,452,1,0.0,0,1,0,0.0
40,457,1,0.0,0,0,1,0.0
40,487,2,5700000.0,1,0,0,2850000.0
40,489,3,0.0,0,1,1,0.0
40,490,1,1300000.0,1,0,0,1300000.0
40,492,1,0.0,0,1,0,0.0
40,496,3,11000000.0,1,1,1,3666666.6666666665
40,497,1,5000000.0,1,0,0,5000000.0
40,500,1,0.0,0,1,0,0.0
40,509,1,0.0,0,0,1,0.0
40,513,1,0.0,0,0,0,0.0
40,529,3,221000000.0,3,0,0,73666666.66666667
40,531,2,2700000.0,1,1,0,1350000.0
40,532,2,0.0,0,1,0,0.0
40,533,1,0.0,0,0,1,0.0
40,535,1,0.0,0,1,0,0.0
40,536,2,6000000.0,1,1,0,3000000.0
40,539,1,0.0,0,0,0,0.0
40,541,1,12000000.0,1,0,0,12000000.0
40,542,2,0.0,0,1,1,0.0
40,543,2,6000000.0,1,0,1,3000000.0
40,544,2,2500000.0,1,1,0,1250000.0
40,545,2,0.0,0,1,1,0.0
40,548,1,0.0,0,1,0,0.0
40,549,2,0.0,0,1,1,0.0
40,551,1,0.0,0,0,1,0.0
40,553,2,1950000.0,2,0,0,975000.0
40,554,2,800000.0,1,1,0,400000.0
40,569,1,7000000.0,1,0,0,7000000.0
40,571,4,11700000.0,1,2,1,2925000.0
40,575,1,0.0,0,1,0,0.0
40,596,1,12000000.0,1,0,0,12000000.0
40,598,1,0.0,0,1,0,0.0
40,601,1,0.0,0,1,0,0.0
40,611,2,6000000.0,1,1,0,3000000.0
40,617,1,800000.0,1,0,0,800000.0
40,622,1,0.0,0,0,0,0.0
40,637,1,0.0,0,1,0,0.0
40,644,1,0.0,0,1,0,0.0
40,689,1,0.0,0,1,0,0.0
40,711,1,0.0,0,0,1,0.0
40,715,1,0.0,0,1,0,0.0
40,723,1,0.0,0,1,0,0.0
40,726,1,0.0,0,1,0,0.0
40,732,2,0.0,0,0,2,0.0
40,735,1,0.0,0,1,0,0.0
40,741,1,0.0,0,1,0,0.0
40,742,1,0.0,0,1,0,0.0
40,743,2,0.0,0,2,0,0.0
40,746,6,12800000.0,2,4,0,2133333.3333333335
40,747,4,0.0,0,2,1,0.0
40,748,2,0.0,0,2,0,0.0
40,854,1,0.0,0,0,1,0.0
40,860,1,0.0,0,1,0,0.0
40,901,1,0.0,0,1,0,0.0
40,940,1,0.0,0,0,1,0.0
40,998,1,0.0,0,0,1,0.0
40,1062,1,3500000.0,1,0,0,3500000.0
40,1063,1,0.0,0,1,0,0.0
40,1155,1,0.0,0,0,1,0.0
40,1304,1,0.0,0,1,0,0.0
40,1332,1,0.0,0,1,0,0.0
40,1334,1,0.0,0,1,0,0.0
40,1335,2,2800000.0,1,1,0,1400000.0
40,1336,3,0.0,0,2,0,0.0
40,1337,2,0.0,0,2,0,0.0
40,1338,2,0.0,0,1,0,0.0
40,1339,3,0.0,0,3,0,0.0
40,1340,1,0.0,0,1,0,0.0
40,1341,1,0.0,0,1,0,0.0
40,1342,1,0.0,0,1,0,0.0
40,1343,3,0.0,0,1,2,0.0
40,1344,1,0.0,0,1,0,0.0
40,1345,1,0.0,0,1,0,0.0
40,1346,1,0.0,0,1,0,0.0
40,1348,1,0.0,0,1,0,0.0
40,1349,1,0.0,0,0,1,0.0
40,1351,2,0.0,0,2,0,0.0
40,1352,1,0.0,0,1,0,0.0
40,1353,7,0.0,0,5,1,0.0
40,1354,2,0.0,0,2,0,0.0
40,1355,3,13700000.0,1,2,0,4566666.666666667
40,1356,9,65000.0,1,6,1,7222.222222222223
40,1357,1,0.0,0,1,0,0.0
40,1359,1,0.0,0,0,0,0.0
40,1360,3,0.0,0,2,1,0.0
40,1362,1,0.0,0,1,0,0.0
40,1363,4,0.0,0,4,0,0.0
40,1367,2,0.0,0,1,1,0.0
40,1371,3,0.0,0,2,1,0.0
40,1372,3,0.0,0,3,0,0.0
40,1373,1,0.0,0,1,0,0.0
40,1375,3,0.0,0,3,0,0.0
40,1376,4,0.0,0,4,0,0.0
40,1377,5,0.0,0,3,2,0.0
40,1378,1,0.0,0,1,0,0.0
40,1380,1,0.0,0,1,0,0.0
40,1381,5,0.0,0,4,1,0.0
40,1386,1,0.0,0,1,0,0.0
40,1430,1,0.0,0,0,1,0.0
40,1596,1,0.0,0,0,0,0.0
40,1606,1,0.0,0,1,0,0.0
40,1819,1,0.0,0,0,0,0.0
40,1820,2,0.0,0,1,1,0.0
40,1821,1,0.0,0,1,0,0.0
40,1984,1,0.0,0,0,0,0.0
40,2070,1,0.0,0,0,0,0.0
40,2080,1,0.0,0,0,1,0.0
40,2261,1,0.0,0,0,1,0.0
40,2290,1,0.0,0,0,0,0.0
40,2313,1,0.0,0,0,1,0.0
40,2328,1,0.0,0,0,1,0.0
40,2354,1,0.0,0,0,0,0.0
40,2356,1,0.0,0,1,0,0.0
40,2362,1,0.0,0,0,1,0.0
40,2364,1,0.0,0,0,1,0.0
40,2369,1,0.0,0,1,0,0.0
40,2373,1,0.0,0,0,1,0.0
40,2374,1,0.0,0,0,1,0.0
40,2375,1,0.0,0,0,1,0.0
40,2395,1,0.0,0,0,1,0.0
40,2870,1,5000000.0,1,0,0,5000000.0
40,2929,1,0.0,0,0,1,0.0
40,2934,1,14000000.0,1,0,0,14000000.0
40,2938,1,46700000.0,1,0,0,46700000.0
40,3402,1,0.0,0,0,1,0.0
40,3843,2,0.0,0,1,0,0.0
40,4248,1,0.0,0,1,0,0.0
40,4686,1,0.0,0,1,0,0.0
40,4909,1,0.0,0,1,0,0.0
40,5049,1,0.0,0,1,0,0.0
40,7693,1,0.0,0,0,1,0.0
40,7749,1,0.0,0,1,0,0.0
40,9410,2,4000000.0,1,1,0,2000000.0
40,9588,1,0.0,0,1,0,0.0
40,11932,1,0.0,0,1,0,0.0
40,12260,1,0.0,0,0,1,0.0
40,13188,1,0.0,0,1,0,0.0
40,15380,1,0.0,0,0,0,0.0
41,40,7,209500000.0,6,0,0,29928571.42857143
42,40,1,38000000.0,1,0,0,38000000.0
43,40,4,0.0,0,0,0,0.0
44,40,2,0.0,0,0,1,0.0
47,40,2,24000000.0,1,0,1,12000000.0
48,40,3,29800000.0,2,0,1,9933333.333333334
49,40,4,14000000.0,1,1,2,3500000.0
50,40,1,0.0,0,0,1,0.0
51,40,2,42000000.0,1,0,0,21000000.0
52,40,1,0.0,0,0,0,0.0
54,40,2,9100000.0,1,0,0,4550000.0
55,40,2,0.0,0,0,0,0.0
56,40,1,0.0,0,0,0,0.0
58,40,1,0.0,0,0,0,0.0
59,40,2,2000000.0,1,0,0,1000000.0
60,40,2,0.0,0,0,0,0.0
61,40,3,0.0,0,0,0,0.0
62,40,3,0.0,0,0,0,0.0
63,40,1,1400000.0,1,0,0,1400000.0
64,40,4,9000000.0,1,0,0,2250000.0
66,40,3,69300000.0,2,0,0,23100000.0
67,40,1,0.0,0,0,0,0.0
68,40,1,0.0,0,0,1,0.0
69,40,5,0.0,0,0,0,0.0
70,40,1,2800000.0,1,0,0,2800000.0
71,40,1,0.0,0,0,0,0.0
72,40,1,0.0,0,1,0,0.0
75,40,2,14700000.0,1,0,0,7350000.0
76,40,3,19000000.0,1,0,0,6333333.333333333
79,40,2,12000000.0,1,0,0,6000000.0
80,40,1,500000.0,1,0,0,500000.0
85,40,2,20500000.0,2,0,0,10250000.0
91,40,1,50000000.0,1,0,0,50000000.0
116,40,1,1500000.0,1,0,0,1500000.0
121,40,1,4400000.0,1,0,0,4400000.0
130,40,1,10000000.0,1,0,0,10000000.0
157,40,2,42500000.0,2,0,0,21250000.0
159,40,1,0.0,0,0,0,0.0
161,40,1,0.0,0,0,0,0.0
164,40,2,10000000.0,1,0,0,5000000.0
165,40,1,0.0,0,0,1,0.0
167,40,1,41000000.0,1,0,0,41000000.0
168,40,2,13300000.0,2,0,0,6650000.0
170,40,1,5000000.0,1,0,0,5000000.0
172,40,3,19000000.0,1,0,0,6333333.333333333
173,40,3,171800000.0,3,0,0,57266666.666666664
174,40,3,0.0,0,1,1,0.0
182,40,2,0.0,0,0,0,0.0
193,40,1,1900000.0,1,0,0,1900000.0
194,40,2,43800000.0,2,0,0,21900000.0
197,40,1,50000000.0,1,0,0,50000000.0
202,40,1,0.0,0,0,0,0.0
210,40,1,3800000.0,1,0,0,3800000.0
211,40,2,100000000.0,2,0,0,50000000.0
212,40,2,44500000.0,1,0,0,22250000.0
225,40,1,0.0,0,1,0,0.0
228,40,1,7500000.0,1,0,0,7500000.0
247,40,2,0.0,0,0,0,0.0
250,40,2,0.0,0,0,0,0.0
252,40,4,4900000.0,1,0,0,1225000.0
255,40,1,0.0,0,0,0,0.0
257,40,2,2800000.0,1,0,0,1400000.0
410,40,1,0.0,0,0,0,0.0
435,40,1,0.0,0,0,1,0.0
446,40,1,3000000.0,1,0,0,3000000.0
449,40,1,2700000.0,1,0,0,2700000.0
452,40,1,0.0,0,0,0,0.0
489,40,2,20000000.0,1,0,0,10000000.0
496,40,2,12000000.0,1,1,0,6000000.0
497,40,4,137800000.0,4,0,0,34450000.0
498,40,1,0.0,0,1,0,0.0
505,40,1,10000000.0,1,0,0,10000000.0
530,40,3,38000000.0,1,1,1,12666666.666666666
531,40,1,0.0,0,0,0,0.0
532,40,3,42000000.0,2,1,0,14000000.0
533,40,2,9800000.0,1,0,0,4900000.0
536,40,2,26000000.0,2,0,0,13000000.0
538,40,1,8199999.999999999,1,0,0,8199999.999999999
541,40,1,0.0,0,1,0,0.0
544,40,1,0.0,0,0,0,0.0
549,40,1,0.0,0,0,0,0.0
553,40,1,13000000.0,1,0,0,13000000.0
554,40,1,0.0,0,0,0,0.0
571,40,1,8500000.0,1,0,0,8500000.0
575,40,1,3000000.0,1,0,0,3000000.0
596,40,1,10000000.0,1,0,0,10000000.0
598,40,2,7000000.0,1,0,0,3500000.0
611,40,1,0.0,0,0,0,0.0
637,40,1,0.0,0,0,0,0.0
646,40,1,150000.0,1,0,0,150000.0
715,40,1,0.0,0,0,0,0.0
722,40,1,2500000.0,1,0,0,2500000.0
723,40,1,0.0,0,0,0,0.0
728,40,1,0.0,0,0,0,0.0
733,40,1,0.0,0,0,1,0.0
742,40,1,0.0,0,0,0,0.0
746,40,3,28500000.0,2,0,0,9500000.0
747,40,2,0.0,0,0,0,0.0
748,40,1,0.0,0,0,0,0.0
860,40,1,0.0,0,0,0,0.0
1050,40,1,0.0,0,0,1,0.0
1063,40,1,0.0,0,0,0,0.0
1138,40,1,0.0,0,0,1,0.0
1147,40,1,0.0,0,0,0,0.0
1335,40,2,2000000.0,1,0,0,1000000.0
1337,40,1,0.0,0,0,0,0.0
1339,40,1,0.0,0,0,1,0.0
1344,40,1,0.0,0,0,0,0.0
1345,40,1,0.0,0,0,0,0.0
1346,40,1,0.0,0,0,0,0.0
1351,40,1,0.0,0,0,0,0.0
1353,40,4,0.0,0,0,0,0.0
1354,40,2,0.0,0,0,0,0.0
1355,40,2,20500000.0,1,0,0,10250000.0
1356,40,3,8400000.0,1,0,0,2800000.0
1357,40,1,0.0,0,0,0,0.0
1358,40,1,0.0,0,0,0,0.0
1360,40,2,0.0,0,0,0,0.0
1362,40,1,0.0,0,0,0,0.0
1363,40,2,0.0,0,0,0,0.0
1371,40,1,0.0,0,0,0,0.0
1372,40,3,0.0,0,0,0,0.0
1373,40,1,0.0,0,0,0,0.0
1375,40,1,0.0,0,0,0,0.0
1376,40,1,0.0,0,0,0,0.0
1377,40,1,0.0,0,0,0,0.0
1379,40,1,225000.0,1,0,0,225000.0
1380,40,1,0.0,0,0,0,0.0
1381,40,2,0.0,0,0,0,0.0
1596,40,1,0.0,0,0,1,0.0
1603,40,1,0.0,0,0,0,0.0
1837,40,1,125000.0,1,0,0,125000.0
1920,40,1,0.0,0,0,1,0.0
2290,40,1,0.0,0,1,0,0.0
2327,40,1,0.0,0,0,1,0.0
2347,40,1,0.0,0,0,0,0.0
2354,40,2,0.0,0,1,1,0.0
2356,40,2,8000000.0,1,0,0,4000000.0
2367,40,1,0.0,0,0,0,0.0
2368,40,1,0.0,0,0,1,0.0
2369,40,1,0.0,0,0,0,0.0
2373,40,1,0.0,0,0,0,0.0
2374,40,1,0.0,0,0,0,0.0
2396,40,1,3000000.0,1,0,0,3000000.0
3480,40,1,0.0,0,0,0,0.0
3843,40,1,0.0,0,0,0,0.0
4909,40,1,0.0,0,0,0,0.0
7749,40,1,0.0,0,0,0,0.0
